Nid;Name;description;Project country;Funding area
1028;Market emergency measures Cyprus;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;CY;Agriculture and Rural Development
1029;Market emergency measures France;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;FR;Agriculture and Rural Development
1030;Market emergency measures Croatia;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;HR;Agriculture and Rural Development
1031;Market emergency measures Italy;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;IT;Agriculture and Rural Development
1032;Market emergency measures Hungary;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;HU;Agriculture and Rural Development
1033;Market emergency measures The Netherlands;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;NL;Agriculture and Rural Development
1035;Market emergency measures Portugal;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;PT;Agriculture and Rural Development
1036;Market emergency measures Bulgaria;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;BG;Agriculture and Rural Development
1038;Market emergency measures Estonia;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;EE;Agriculture and Rural Development
1039;Market emergency measures Latvia;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;LV;Agriculture and Rural Development
1040;Market emergency measures Lithuania;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;LT;Agriculture and Rural Development
1041;Market emergency measures Austria;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;AT;Agriculture and Rural Development
1044;Market emergency measures Slovakia;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;SK;Agriculture and Rural Development
1045;Market emergency measures Spain;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;ES;Agriculture and Rural Development
1046;Market emergency measures Greece;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;GR;Agriculture and Rural Development
1047;Market emergency measures Germany;<p>This EU-wide market measures have been introduced in response to the Russian ban on the import of EU fruit and vegetables (F&V). The European Commission, with the help of Member States, has monitored the different markets particularly closely and taken five sets of emergency measures for F&V covering the period from August 2014 to June 2016. The measures focus on alleviating the market pressure and stabilising prices by removing outlet surplus. Allocations for these measures have primarily been based on previous exports to Russia.</p>;DE;Agriculture and Rural Development
1089;Potplant Project;<p>Nature conservation commitments in Italy’s Lombardia region led to an increase in demand for large volumes of potted native plants that could be used for ‘restoring’ vegetation in protected biodiversity areas. A partnership of public and private sector bodies implemented the project.</p>;IT;Agriculture and Rural Development
1094;Put Aragon on Your Table;<p>Food producers and providers in Spain’s Aragon region have taken advantage of RDP funds that are available for promoting local food through short supply-chains - via a coordinated system of local and online outlets across an area larger than the Netherlands.</p>;ES;Agriculture and Rural Development
1098;Expansion and modernisation of a model unit for dairy products;<p>Funding from LEADER+ allowed Iordanis Papadopoulos to establish a model unit for dairy products in 2006. The unit soon became operational and started to produce kefir. Kefir is a bioenergy traditional drink, produced from Greek cow milk by adding beneficial fresh grains.</p>;GR;Agriculture and Rural Development
1099;Protecting the cultural heritage and boosting tourism in Nikiti;<p>Nikiti is a village in  the Halkidiki peninsula , one of the most popular tourism destinations in Greece and a region of immense cultural importance since antiquity. The village attracts many tourists each year because of its location. In developing the folklore museum, the local community  worked together  to assemble  1, 500 exhibits highlighting  the cultural and historical heritage of the area. This resulted in the protection of the cultural and architectural heritage of the area and created a new tourism attraction.</p>;GR;Agriculture and Rural Development
1102;Non caged laying hens;<p>Luneta d.o.o. built the first farm where laying hens are not kept in cages. This enabled the company not only to implement directive-based standard requirements before legally obliged to do so in Croatia, but in going beyond these with further modernisation and thereby pushing the competition to strive to higher standards themselves.</p>;HR;Agriculture and Rural Development
1104;Young Farm Beekeeping;<p>Rural investment used in farm modernisation can also target market access, and did so for a young farmer in Romania. The direct results in the investment were to increase the size of apiaries, and modernise a farm through specific equipment purchases. The direct selling has enabled a young farmer entering agriculture to add value through the sale of nine different types of honey and related products.</p>;RO;Agriculture and Rural Development
1107;Romania Upland Grass Cutting;<p>There is a need for managing upland grasslands as part of the requirement to keep the rural landscape in good environmental condition. In Romania this has led to an innovation in machinery use to ensure that upland rural areas are managed.</p>;RO;Agriculture and Rural Development
1108;Forest Licence project;<p>The Leader funds co-financed eight different training courses that were new and specially tailored to meet the needs of the target group. Owners were trained in topics ranging from environmentally sustainable silviculture skills for different forest species, to chainsaw health and safety.</p>;LU;Agriculture and Rural Development
1109;Energy Efficiency Solutions in Guadeloupe;<p>SICAPAG is a group of 58 agricultural producers specialised in the production, selling and transport of fresh fruits and vegetables. To face the increasing trade volumes and, consequently, the proportional raise of transport costs, SICAPAG decided to pilot the use of an electric vehicle in order to control and reduce energy consumption.</p>;FR;Agriculture and Rural Development
1110;A Tour Boat Designed for the Disabled;<p>An association for disabled has designed and equipped the harbour and a special boat with equipment making it possible for disabled people to go out in the archipelago of Stockholm for activities such as game fishing, seal safaris and photo tours.</p>;SE;Agriculture and Rural Development
1111;Automated Irrigation System for Mediterranean Horticulture;<p>The EAFRD has supported the final stages of a major modernisation programme at a leading seedling nursery in Cyprus with co-financing for the installation of a modern new ‘smart’ irrigation system that is both saving costs and conserving water.</p>;CY;Agriculture and Rural Development
1112;Better Market Adaptation for Organically Grown Citrus Fruit;<p>This Spanish project improved the handling, packaging and marketing of organically grown citrus fruit in an area of natural beauty. It upgraded ripening, refrigeration, transport and labelling processes and it encouraged better market adaptation.</p>;ES;Agriculture and Rural Development
1114;Glass Organic Dairy: Transparency from Farmer to Fridge;<p>In early 2010 the first nationwide glass dairy in Münchehofe was opened. It processes organic milk from the surrounding organic farmers and gives visitors an insight into the manufacturing and production processes of the regional dairy products.</p>;DE;Agriculture and Rural Development
1117;Implementation of a Biogas Plant in the Iasi Agrizoo Farm;<p>The RDP supported the establishment of micro-biogas plants in the Basilicata Region in Italy, a technology that produces heat and electricity from the fermentation of livestock manure. Processing manure became an opportunity for income diversification by producing renewable clean energy.</p>;IT;Agriculture and Rural Development
1118;Cultural heritage conservation in rural Malta;<p>EUR 10.7 million invested in heritage assets as drivers of rural development through cultural tourism. The project is restoring two sites designated by UNESCO for their World Heritage value. These includes ancient Roman baths and old Christian Catacomb.</p>;MT;Agriculture and Rural Development
1120;Canoe tourism in Lithuania's waterways;<p>RDP support to help expand a family business providing canoe hire and tour services for visitors in northern Lithuania.</p>;LT;Agriculture and Rural Development
1121;Baking Traditional Bread for the Local Community;<p>The project team used EAFRD funds to extend and modernise the capacity of the bakery production, providing now bread and bakery products for over 85000 people in rural areas of Cluj and Bistrita counties.</p>;RO;Agriculture and Rural Development
1122;RDP support for climate-friendly development on Europe's farms;<p>RDP support to a farm modernisation project in Belgium’s Walloon region involving installation of solar panels to help the family business become more self-sufficient in its power needs.</p>;BE;Agriculture and Rural Development
1125;Protection of Endangered Local Breeds;<p>The main objective of the project was to support the preservation of the Copper Red Shoumen breed, an important species in Bulgaria.</p>;BG;Agriculture and Rural Development
1126;Restoration of dry-stone wall landscape features in Estonia''s Matsalu National Park;<p>RDP project support to a contractor providing dry-stone wall construction and maintenance services in Estonia. The project actions focused on repairing dry-stone walls in Matsalu National Park as traditional socio-cultural landscape features.</p>;EE;Agriculture and Rural Development
1127;Sunny Farmers Market - supporting local food in rural Hungary;<p>The Sunny Farmers Market aims at promoting the idea of producing and buying local in rural Hungary. It included construction of new market space where local producers could sell their products, leading to growing interest and enthusiasm of consumers.</p>;HU;Agriculture and Rural Development
1129;Mallu does the Rounds;<p>The Mallu bus was designed by the South Karelia Social and Health Care District (Eksote) to be an easy-to-use medical service for people in rural areas. This was delivered through its new integrated mobile facility, a converted mobile caravan</p>;FI;Agriculture and Rural Development
1132;Innovative techniques in arable crops;<p>The pilot project will test new techniques in the arable crops sector under real time farming conditions. Specifically, the effects of new techniques like strip tilling will be evaluated with regard to fertiliser need, yield, and environmental effects.</p>;DE;Agriculture and Rural Development
1133;Network for the exchange of innovation between EU wine regions to increase productivity;<p>The project concerns the setting up of a network to compare ideas and methods to combat two important diseases in vineyard: the grapevine trunk diseases and Flavesence dorée. These diseases are prevalent in many vineyards in different European countries and have substantial economic importance for the European wine industry. The project will capture and share the different approaches that are experimented with to fight these diseases.</p>;FR;Agriculture and Rural Development
1134;Metrics, Models and Foresight for European Sustainable Food and Nutrition Security;<p>Strengthening food and nutrition security (FNS) in the EU requires a move towards a diet that supports sustainable food consumption and production. The multidisciplinary research agenda of SUSFANS will build the conceptual framework, the evidence base and analytical tools for underpinning EU-wide food policies with respect to their impact on consumer diet and their implications for nutrition and public health, the environment, the competitiveness of the EU agri-food sectors, and global FNS.</p>;NL;Agriculture and Rural Development
1256;School Fruit and Vegetables Scheme - EU wide programme;<p>The programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;BE;Agriculture and Rural Development
1257;School Fruit and Vegetables Scheme - Austria;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;AT;Agriculture and Rural Development
1258;School Fruit and Vegetables Scheme - Belgium;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures (school gardens and farm visits) to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State is established by the Commission for each school year. MS participation is voluntary.</p>;BE;Agriculture and Rural Development
1259;School Fruit and Vegetables Scheme - Bulgaria;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;BG;Agriculture and Rural Development
1260;School Fruit and Vegetables Scheme - Croatia;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;HR;Agriculture and Rural Development
1261;School Fruit and Vegetables Scheme - Cyprus;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;CY;Agriculture and Rural Development
1262;School Fruit and Vegetables Scheme - Czech Republic;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;CZ;Agriculture and Rural Development
1263;School Fruit and Vegetables Scheme - Denmark;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;DK;Agriculture and Rural Development
1264;School Fruit and Vegetables Scheme - Estonia;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;EE;Agriculture and Rural Development
1265;School Fruit and Vegetables Scheme - France;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;FR;Agriculture and Rural Development
1266;School Fruit and Vegetables Scheme - Germany;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;DE;Agriculture and Rural Development
1267;School Fruit and Vegetables Scheme - Greece;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;GR;Agriculture and Rural Development
1268;School Fruit and Vegetables Scheme - Hungary;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;HU;Agriculture and Rural Development
1270;School Fruit and Vegetables Scheme - Italy;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;IT;Agriculture and Rural Development
1271;School Fruit and Vegetables Scheme - Latvia;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;LV;Agriculture and Rural Development
